RATING,TITLE,VERIFIED,TEXT,DATE
5.0 out of 5 stars,"Great colour payoff, packaging can be used as a carrying case",Verified Purchase,"I was impressed with these highlighters as they provided a beautiful, subdued way to make my notes stand out. The range of colours is great, and the retail packaging is actually quite sturdy - instead of carrying these highlighters in my pencil case, I simply keep them in the original packaging, which has a useful tab that seals the highlighters in.",Reviewed in the United Kingdom on 6 April 2019
5.0 out of 5 stars,Longlasting,Verified Purchase,"A tried and trusted brand of highlighter that I've used for years. I've highlighted many a document through my degree (well, not with these exact ones!) and now for my Accountancy studies. Love these highlighter pens and will definitely buy again",Reviewed in the United Kingdom on 15 February 2021
5.0 out of 5 stars,Makes my dull revision notes look amazing!,Verified Purchase,Makes my dull revision notes look amazing! Love these highlighters. I also own the pastel version and enjoy showing off my stationary at school. They work great and look great. Makes me have pride in my work and also makes it easier to revise. Would really recommend these highlighters!!,Reviewed in the United Kingdom on 20 February 2019
4.0 out of 5 stars,So pretty,Verified Purchase,"These are beautiful pens to have in your collection, whether for highlighting or just colouring. The only downside is they bleed through some paper, so maybe not great for using in notebooks. I use them for editing my manuscripts, printed one-sided, so they work great for me.",Reviewed in the United Kingdom on 30 July 2019
5.0 out of 5 stars,Best make for longevity,Verified Purchase,"I’ve bought many makes of cheap or cute highlighters over the years, both for me and the kids.  These are far the best and these pastel ones are a lovely alternative.Bought for my kids - my daughter’s friends were all very jealous of her pastel colours.",Reviewed in the United Kingdom on 5 October 2019
5.0 out of 5 stars,"Long lasting, good tips.",Verified Purchase,"These highlighters are great for making study notes - the colours allow for well presented, coded notes without bleeding through - able to see the print clearly.",Reviewed in the United Kingdom on 31 August 2019
5.0 out of 5 stars,Great pens!,Verified Purchase,these pens do not dry out when yo leave the top off....unlike others i have used in the past and also there is plenty of ink coming from the pen when you highlight ...would recommend.,Reviewed in the United Kingdom on 8 August 2020
5.0 out of 5 stars,Lovely colours,Verified Purchase,"Loved the pastel colours of these highlighters. They are still going strong over a year later, with the exception of the pink which is starting to dry up from my over use! I use them regularly and it makes highlighting my work look much less harsh, with loosing it's purpose.",Reviewed in the United Kingdom on 8 May 2020
5.0 out of 5 stars,Great product and ace quality,Verified Purchase,"Okay for quality and quality is what you get. I made the mistake of purchasing a cheaper brand before I got these. Stabilo is the highlighter brand, stick to itnand don't go elsewhere.",Reviewed in the United Kingdom on 15 October 2020
5.0 out of 5 stars,Stabilo pastel highlighters,Verified Purchase,They are what they say they are. Nice colours.  I always find the Stabilo highlighter of this shape a bit slippy to hold but that's probably just me! Would buy again.,Reviewed in the United Kingdom on 21 March 2021
5.0 out of 5 stars,Nice colours,Verified Purchase,My daughter loves the pastel colours for her school work. Doing GCSE's at present so this is her 3rd pack as she has a lot of work written up. Best price we could find and came quickly. Very pleased,Reviewed in the United Kingdom on 2 March 2019
5.0 out of 5 stars,as they are of superior quality to other highlighter brands I have used in ...,Verified Purchase,"I always use Stabilo highlighters for studying, as they are of superior quality to other highlighter brands I have used in the past.The colours are always vibrant, they do not smudge writing that is being highlighted, seem to last much longer than other brands, and do not dry out.Stabilo highlighters are usually more expensive, however this pack has been far cheaper than others I have seen in shops.I would highly recommend this highlighter pack to any student!There are a few orange/pink colours, however these actually all look different in colour to each other.",Reviewed in the United Kingdom on 11 July 2017
5.0 out of 5 stars,Delicate highlights that don't take over your notes,Verified Purchase,"I first got these highlighters when I was completing my master degree. I really dislike strong, neon colors in my notes. It's just too much of ""clown fiesta"" for me ;) These highlighters are perfect for someone like me - delicate colors, still highlighting whats the most important without taking over your entire notes. They last ages, still going on after completing master and 2 years of work ;)",Reviewed in the United Kingdom on 22 May 2020
1.0 out of 5 stars,Not red,Verified Purchase,These red pens are pink :(,Reviewed in the United Kingdom on 21 February 2019
5.0 out of 5 stars,I wasn't entirely sold on these until I started looking ...,Verified Purchase,I wasn't entirely sold on these until I started looking at the standard fluorescent highlighters. I can never read my writing through them so I thought I would give these a try and I am pleasantly surprised.,Reviewed in the United Kingdom on 22 August 2017
1.0 out of 5 stars,Rubbish!,Verified Purchase,"I bought these highlighters in August. I’ve had others that have lasted me for months. These lasted less than three months. I don’t use them a lot but this batch dried up so fast, never use Stabilo again. They were rubbish. Will get cheap off the local market next time, more cost effective.",Reviewed in the United Kingdom on 1 November 2020
5.0 out of 5 stars,Vibrant colours and worth every penny,Verified Purchase,Arrive on time and im absolutely happy with my purchase  Just what I needed to help me along with my hobby of bullet journaling. Comfortable to hold and vibrant colours.,Reviewed in the United Kingdom on 13 October 2020
5.0 out of 5 stars,Worth the money,Verified Purchase,These are a lovely set of highlighters and they last for ages. The pastel colours are light however do still ‘highlight’ if that makes sense. The best pastel highlighters on the market.,Reviewed in the United Kingdom on 22 April 2020
4.0 out of 5 stars,Cute highlighters!,Verified Purchase,I love these highlighters! They make your work look really cute and the colours are nice and glide across paper nicely. Only thing I will say is that they do go through the page the tiniest bit on thinner paper. Otherwise wonderful!,Reviewed in the United Kingdom on 24 December 2020
